wave,lnwage,sex,expf,expfsq,expp,exppsq,edyrs,colldeg,advdeg,msa,region,racehisp,union,govt,ind,occ,mgrocc,profocc,maleprofaer,wght
1999,3.151606559753418,male,25,625,0,0,14,0,0,0,midwest,whitenh,0,0,nondurables,architect,0,1,1,14.925000190734863
2009,4.166689872741699,male,15,225,2,4,15,0,0,1,west,whitenh,1,1,admin,security,0,0,0,26.635000228881836
2011,3.541649341583252,male,17,289,0,0,12,0,0,1,south,whitenh,0,1,admin,managerial,1,0,0,34.19499969482422
2011,4.474527359008789,male,8.849214553833008,78.30859821976992,4.150785446166992,17.229019820111716,18,0,1,1,south,whitenh,0,0,medical,healthcare,0,1,0,21.200000762939453
1981,3.3229575157165527,male,14,196,6,36,16,1,0,1,west,whitenh,0,0,durables,artist,0,1,1,32
1990,2.970313787460327,male,32,1024,0,0,12,0,0,1,south,blacknh,0,0,durables,production,0,0,0,3.5840001106262207
2007,3.192028760910034,male,15,225,6,36,13,0,0,1,midwest,blacknh,1,1,transport,admin,0,0,0,4.314000129699707
1999,3.2563085556030273,male,15,225,3,9,14,0,0,1,northeast,blacknh,0,0,nondurables,production,0,0,0,1.9040000438690186
1999,2.9286210536956787,male,16,256,0,0,12,0,0,1,south,whitenh,0,0,durables,managerial,1,0,0,9.107999801635742
2011,2.8303442001342773,male,8,64,0,0,12,0,0,1,south,whitenh,0,0,nondurables,production,0,0,0,15.366000175476074
2009,3.660318374633789,male,32,1024,3,9,13,0,0,1,south,blacknh,1,1,transport,admin,0,0,0,1.9559999704360962
2007,2.883024215698242,male,2,4,5,25,16,1,0,1,south,whitenh,0,0,communications,tech,0,1,1,21.77899932861328
1999,2.977595090866089,male,19,361,0,0,12,0,0,0,midwest,whitenh,0,0,enterntainment,construct,0,0,0,23.621999740600586
1981,2.3207132816314697,male,30,900,2,4,7,0,0,0,south,blacknh,0,0,nondurables,production,0,0,0,5
2011,3.288719415664673,male,12,144,0,0,14,0,0,0,northeast,whitenh,1,1,admin,security,0,0,0,63.32600021362305
1981,3.1784675121307373,male,38,1444,3,9,9,0,0,0,south,whitenh,0,1,miningconstruction,production,0,0,0,28
2011,3.25809645652771,male,9,81,1,1,15,0,0,1,northeast,whitenh,0,0,retail,sales,0,0,0,14.967000007629395
1990,3.5412869453430176,male,34,1156,0,0,14,0,0,1,south,hisp,1,1,transport,construct,0,0,0,38.98899841308594
1981,2.3419854640960693,male,7,49,2,4,12,0,0,1,south,blacknh,1,1,enterntainment,foodcare,0,0,0,1
1981,2.8733327388763428,male,33,1089,0,0,12,0,0,0,northeast,whitenh,0,0,retail,production,0,0,0,29
1999,2.890805721282959,male,23,529,0,0,12,0,0,1,midwest,blacknh,0,0,nondurables,admin,0,0,0,1.0490000247955322
1999,3.2567250728607178,male,11,121,1,1,16,1,0,1,northeast,whitenh,0,0,durables,tech,0,1,1,15.727999687194824
2007,3.1960465908050537,male,9,81,0,0,14,0,0,1,south,blacknh,0,0,transport,transport,0,0,0,1.190000057220459
2007,3.921963691711426,male,23,529,13,169,14,0,0,1,south,whitenh,0,0,professional,tech,0,1,1,17.68199920654297
2011,3.761200189590454,male,21,441,0,0,15,0,0,0,south,blacknh,0,0,admin,architect,0,1,1,3.809999942779541
1990,3.4484736919403076,male,4,16,39,1521,12,0,0,1,midwest,whitenh,0,0,durables,architect,0,1,1,37.76499938964844
1981,3.204180955886841,male,31,961,0,0,15,0,0,1,west,whitenh,0,0,transport,transport,0,0,0,16
1999,2.6331570148468018,male,39,1521,0,0,16,1,0,0,northeast,whitenh,1,1,admin,socialworker,0,1,1,28.288999557495117
1999,3.196885347366333,male,19,361,0,0,16,1,0,1,south,whitenh,1,1,education,managerial,1,0,0,22.0310001373291
2009,4.181578159332275,male,11,121,0,0,14,0,0,1,west,hisp,0,1,admin,security,0,0,0,26.993999481201172
2007,3.249234676361084,male,12,144,4,16,17,1,0,1,south,whitenh,0,1,enterntainment,legaleduc,0,1,0,21.695999145507812
1999,2.9181082248687744,male,9,81,0,0,15,0,0,0,south,blacknh,0,0,retail,managerial,1,0,0,1.6080000400543213
2009,3.229998826980591,male,9.935829162597656,98.72070114832604,2.0641708374023438,4.260801245982293,9,0,0,0,south,whitenh,1,0,professional,transport,0,0,0,52.439998626708984
1981,3.2946438789367676,male,31,961,3,9,18,0,1,1,south,whitenh,0,1,education,postsecondaryeduc,0,1,1,17
1999,2.560945749282837,male,19,361,2,4,14,0,0,1,northeast,whitenh,0,0,wholesale,financial,1,0,0,26.430999755859375
1981,3.31961989402771,male,30,900,0,0,12,0,0,1,northeast,whitenh,0,1,professional,tech,0,1,1,34
1990,3.4218544960021973,male,10,100,1,1,12,0,0,1,midwest,whitenh,1,0,transport,transport,0,0,0,17.819000244140625
